tree,total_branch_length,Nigeria,Nigeria_random,Cameroon,Cameroon_random,Democratic Republic of the Congo,Democratic Republic of the Congo_random,Uganda,Uganda_random,Zambia,Zambia_random,Malawi,Malawi_random,Mozambique,Mozambique_random
21,0.0018996454942672974,0.00010168936041187425,6.928891254613483e-05,1.903047299076999e-05,1.8723874456543638e-05,9.360235573524934e-05,0.00011179266752187164,6.986369255853079e-05,2.1659231446041413e-05,5.759294720457213e-05,0.00010575169760089443,2.718505707511058e-05,3.519170404583461e-05,1.7221979792354227e-05,1.0599915370847288e-05
22,0.0019313806428835835,0.00010076881777967665,5.899910565905953e-05,1.786646262772265e-05,2.0844722141344883e-05,0.00010853668719266497,9.56975834628239e-05,6.659949881502886e-05,1.2350254992802862e-05,5.452484270390993e-05,0.00011354419553140588,2.7585105251476914e-05,2.7647010147959514e-05,1.8225105084512458e-05,1.8247834924136437e-05
23,0.0019331794964319465,9.384385527344357e-05,7.24516614884188e-05,1.977554805342131e-05,2.338833546051142e-05,0.00010076973826018444,0.00011009887312472821,6.652626916203285e-05,2.3941427569218292e-05,5.4414704252040823e-05,0.00012784785783479533,2.7827075611738025e-05,5.188958094444625e-05,1.889760113414781e-05,2.2822413850913425e-05
24,0.001901308033774461,0.00010232940982221475,5.828615312336669e-05,1.6932425514534083e-05,1.2418362852238208e-05,0.00010599715776103127,0.0001167440017740694,6.878807306134188e-05,3.434097789564369e-05,5.393427962142286e-05,9.092835510723257e-05,2.947005538050159e-05,3.31566945859685e-05,1.661712513871278e-05,1.626154219516577e-05
25,0.0019238045444226154,9.602328431543685e-05,5.957511036378373e-05,2.236047948466196e-05,2.0897487388239332e-05,0.00010719414619227673,0.00010900813435603439,7.317443383752825e-05,2.0919617355459174e-05,5.262641113450649e-05,0.0001346941376873436,2.4243623521444293e-05,2.557842840446474e-05,1.777080841419915e-05,2.9468268947141192e-05
26,0.0019162419007585365,0.00010222028267556924,5.430200391139334e-05,2.0265894862415935e-05,1.9212599939318065e-05,0.00010150804142607822,0.000103154311044213,6.037429371219733e-05,1.3882919583367353e-05,5.309920196628509e-05,0.00013132410733097217,2.756583619631034e-05,2.7372864834989113e-05,1.8330092928935593e-05,1.3552264085731373e-05
27,0.0019005340224544645,9.346267065062997e-05,6.752471080232218e-05,1.592569535703689e-05,1.8194448169887075e-05,0.00010925541648959297,9.424663376779549e-05,6.557616489427588e-05,1.943653113271578e-05,5.157068858777287e-05,0.00011980939349656695,2.655771673003792e-05,2.616094570070276e-05,2.2459070825065278e-05,1.6593208350029363e-05
28,0.0019162640933786956,9.414571845533441e-05,5.942662730019769e-05,1.886604938268542e-05,8.031185562151722e-06,0.00010465495050813946,9.009417543014565e-05,6.256848275712251e-05,2.941746238554967e-05,5.783354546877299e-05,0.00015928321353378102,2.504400819115728e-05,3.6149096449962026e-05,2.1099173181106075e-05,1.1700103442541547e-05
29,0.0019052826421893446,9.528412310689941e-05,6.389216069103629e-05,2.0663491628397906e-05,9.556991550663816e-06,0.00010759592918751755,0.00010814352511694233,6.567799279120156e-05,1.772547037534296e-05,5.41587124048234e-05,0.00011995113890573552,2.652872729721296e-05,2.7488543003895312e-05,1.854017095912798e-05,1.4794422356722561e-05
30,0.0019018705657615122,9.453920105379149e-05,5.579741399051007e-05,1.9754394321673486e-05,7.106746018866036e-06,0.00010632473844676411,0.00010305414829422021,6.732136402330972e-05,2.2441058772562986e-05,5.418898625450443e-05,0.00010411212831909402,2.7812249750298022e-05,4.24679423742184e-05,1.565534599870782e-05,1.8204052433841086e-05
31,0.001969403973197937,0.00010332092245170883,6.524922517253456e-05,2.1115295533641332e-05,1.7235455703849e-05,0.00010497027725223421,0.00011658097848933732,6.667379167076709e-05,2.5679105031779087e-05,5.380802155677527e-05,0.00013624312578124206,2.672310411802343e-05,5.151093586407661e-05,2.343891963764314e-05,1.6542121177105925e-05
32,0.0018999864058775445,9.509109859742368e-05,7.865620749769337e-05,1.556488541086488e-05,7.841564105344218e-06,0.0001031276222135803,9.455868525585815e-05,6.338998097694514e-05,1.0845593905075288e-05,5.549992599511401e-05,0.00011242985809969052,2.560132610865233e-05,2.0582207447895342e-05,2.239701509149073e-05,1.6834063129713122e-05
33,0.0018759021088098804,9.777632217238355e-05,7.180298523901205e-05,2.0469241046614482e-05,1.655274569692085e-05,0.0001059292639553188,0.0001135815770597591,6.703730264957927e-05,2.693176388519707e-05,4.6461206389744516e-05,0.00010731491105412001,2.729426743988228e-05,2.769882535303943e-05,1.630328061613586e-05,4.283627557279731e-05
34,0.0019333437953397779,9.906746172189964e-05,7.419034716189539e-05,2.277556994503176e-05,6.485449026191531e-06,0.0001046692138570659,0.00010537979052063708,7.033905032708385e-05,4.820918298416711e-05,4.825641562129237e-05,7.660284700841875e-05,2.697174165201886e-05,3.4400689488386276e-05,1.546295333713552e-05,1.634417355858499e-05
35,0.0019146365595660861,9.547960244331408e-05,7.268427563495317e-05,1.778218450216489e-05,2.0271702283547813e-05,0.00010149990978571954,0.00010063964413385435,6.914266012388471e-05,3.4564120669292216e-05,5.2880515117944985e-05,0.00011647109583911219,2.7025140971400534e-05,2.6936172152350942e-05,1.593088441439864e-05,2.9163152347388196e-05
