country,V,Km,max_intros,percent_captured
Cameroon,33.969630570018985,50.96186210184881,22,0.6476373051703666
Cameroon,23.09353951076625,37.5651868513875,17,0.736136614834403
Cameroon,24.44317270617843,37.782873447275485,18,0.736401948158317
Cameroon,23.99499125733784,37.41471154177178,18,0.7501565558810308
Cameroon,23.092659480201533,32.595905971383814,18,0.7794684720238603
Cameroon,26.06300604790513,45.65411713841067,18,0.6906340721755229
Cameroon,18.29430788330028,28.597942897584023,15,0.8199271650879207
Cameroon,28.96810290858413,42.06165523869209,20,0.6904145591830728
Cameroon,21.618743289927522,29.956333361832904,17,0.7863546817691545
Cameroon,21.045384125713298,32.57393611930626,16,0.7602617231610025
Cameroon,24.08833811032554,42.46655066003282,17,0.7057356934355259
Cameroon,16.110002001957795,23.604363745452776,14,0.8690253420389784
