Location,TL,TR,Primary,Phantom,deaths,sCh,,,,,,
AFR::MOZ,1994-01-01,1994-12-31,TRUE,FALSE,27,692,,,,,,
AFR::MOZ,1996-01-01,1996-12-31,TRUE,FALSE,0,0,,,,,,
AFR::MOZ,1997-01-01,1997-12-31,TRUE,FALSE,259,8739,,,,,,
AFR::MOZ,1998-01-01,1998-12-31,TRUE,FALSE,1353,42672,,,,,,
AFR::MOZ,1999-01-01,1999-12-31,TRUE,FALSE,1194,44329,,,,,,
AFR::MOZ,2000-01-01,2000-12-31,TRUE,FALSE,238,17649,,,,,,
AFR::MOZ,2001-01-01,2001-12-31,TRUE,FALSE,102,8794,,,,,,
AFR::MOZ,2002-01-01,2002-12-31,TRUE,FALSE,342,24375,,,,,,
AFR::MOZ,2003-01-01,2003-12-31,TRUE,FALSE,102,13758,,,,,,
AFR::MOZ,2004-01-01,2004-12-31,TRUE,FALSE,110,20080,,,,,,
AFR::MOZ,2005-01-01,2005-12-31,TRUE,FALSE,24,2226,,,,,,
AFR::MOZ,2006-01-01,2006-12-31,TRUE,FALSE,29,6306,,,,,,
AFR::MOZ,2007-01-01,2007-12-31,TRUE,FALSE,22,2622,,,,,,
AFR::MOZ,2008-01-01,2008-12-31,TRUE,FALSE,102,9087,,,,,,
AFR::MOZ,2009-01-01,2009-12-31,TRUE,FALSE,155,19679,,,,,,
AFR::MOZ,2010-01-01,2010-12-31,TRUE,FALSE,117,7430,,,,,,
AFR::MOZ,2011-01-01,2011-12-31,TRUE,FALSE,5,1279,,,,,,
AFR::MOZ,2012-01-01,2012-12-31,TRUE,FALSE,7,647,,,,,,
AFR::MOZ,2013-01-01,2013-12-31,TRUE,FALSE,19,1869,,,,,,
AFR::MOZ,2014-01-01,2014-12-31,TRUE,FALSE,1,480,,,,,,
AFR::MOZ,2015-01-01,2015-12-31,TRUE,FALSE,64,8739,,,,,,
AFR::MOZ,2016-01-01,2016-12-31,TRUE,FALSE,2,883,,,,,,
AFR::MOZ,2017-01-01,2017-12-31,TRUE,FALSE,10,5892,,,,,,
AFR::MOZ,2018-01-01,2018-12-31,TRUE,FALSE,0,910,,,,,,
AFR::MOZ,2019-01-01,2019-12-31,TRUE,FALSE,8,7010,,,,,,
AFR::MOZ,2020-01-01,2020-12-31,TRUE,FALSE,4,3787,,,,,,
AFR::MOZ,2021-01-01,2021-12-31,TRUE,FALSE,21,5072,,,,,,
AFR::MOZ,2022-01-01,2022-12-31,TRUE,FALSE,22,4388,,,,,,
AFR::MOZ,2023-01-01,2023-12-31,TRUE,FALSE,156,39908,,,,,,
AFR::MOZ,2024-01-01,2024-12-31,TRUE,FALSE,12,6346,,,,,,
AFR::NGA,1970-01-01,1970-12-31,TRUE,FALSE,4,15,,,,,,
AFR::NGA,1971-01-01,1971-12-31,TRUE,FALSE,2945,22931,,,,,,
AFR::NGA,1972-01-01,1972-12-31,TRUE,FALSE,96,1363,,,,,,
AFR::NGA,1973-01-01,1973-12-31,TRUE,FALSE,27,157,,,,,,
AFR::NGA,1975-01-01,1975-12-31,TRUE,FALSE,1,38,,,,,,
AFR::NGA,1976-01-01,1976-12-31,TRUE,FALSE,25,112,,,,,,
AFR::NGA,1977-01-01,1977-12-31,TRUE,FALSE,10,376,,,,,,
AFR::NGA,1978-01-01,1978-12-31,TRUE,FALSE,20,197,,,,,,
AFR::NGA,1979-01-01,1979-12-31,TRUE,FALSE,4,293,,,,,,
AFR::NGA,1980-01-01,1980-12-31,TRUE,FALSE,25,138,,,,,,
AFR::NGA,1981-01-01,1981-12-31,TRUE,FALSE,18,107,,,,,,
AFR::NGA,1982-01-01,1982-12-31,TRUE,FALSE,18,248,,,,,,
AFR::NGA,1983-01-01,1983-12-31,TRUE,FALSE,2,178,,,,,,
AFR::NGA,1984-01-01,1984-12-31,TRUE,FALSE,185,1667,,,,,,
AFR::NGA,1985-01-01,1985-12-31,TRUE,FALSE,0,30,,,,,,
AFR::NGA,1986-01-01,1986-12-31,TRUE,FALSE,23,91,,,,,,
AFR::NGA,1987-01-01,1987-12-31,TRUE,FALSE,111,1290,,,,,,
AFR::NGA,1988-01-01,1988-12-31,TRUE,FALSE,10,137,,,,,,
AFR::NGA,1989-01-01,1989-12-31,TRUE,FALSE,61,1078,,,,,,
AFR::NGA,1991-01-01,1991-12-31,TRUE,FALSE,7654,59478,,,,,,
AFR::NGA,1992-01-01,1992-12-31,TRUE,FALSE,686,8687,,,,,,
AFR::NGA,1993-01-01,1993-12-31,TRUE,FALSE,266,4160,,,,,,
AFR::NGA,1994-01-01,1994-12-31,TRUE,FALSE,313,2859,,,,,,
AFR::NGA,1995-01-01,1995-12-31,TRUE,FALSE,87,1059,,,,,,
AFR::NGA,1996-01-01,1996-12-31,TRUE,FALSE,1193,12374,,,,,,
AFR::NGA,1997-01-01,1997-12-31,TRUE,FALSE,134,1322,,,,,,
AFR::NGA,1998-01-01,1998-12-31,TRUE,FALSE,187,3464,,,,,,
AFR::NGA,1999-01-01,1999-12-31,TRUE,FALSE,2085,26358,,,,,,
AFR::NGA,2000-01-01,2000-12-31,TRUE,FALSE,43,2799,,,,,,
AFR::NGA,2001-01-01,2001-12-31,TRUE,FALSE,119,2312,,,,,,
AFR::NGA,2002-01-01,2002-12-31,TRUE,FALSE,154,5429,,,,,,
AFR::NGA,2003-01-01,2003-12-31,TRUE,FALSE,87,1933,,,,,,
AFR::NGA,2004-01-01,2004-12-31,TRUE,FALSE,185,3186,,,,,,
AFR::NGA,2005-01-01,2005-12-31,TRUE,FALSE,174,4477,,,,,,
AFR::NGA,2006-01-01,2006-12-31,TRUE,FALSE,127,2028,,,,,,
AFR::NGA,2007-01-01,2007-12-31,TRUE,FALSE,48,1661,,,,,,
AFR::NGA,2008-01-01,2008-12-31,TRUE,FALSE,247,5410,,,,,,
AFR::NGA,2009-01-01,2009-12-31,TRUE,FALSE,431,13691,,,,,,
AFR::NGA,2010-01-01,2010-12-31,TRUE,FALSE,1712,44456,,,,,,
AFR::NGA,2011-01-01,2011-12-31,TRUE,FALSE,742,23377,,,,,,
AFR::NGA,2012-01-01,2012-12-31,TRUE,FALSE,18,597,,,,,,
AFR::NGA,2013-01-01,2013-12-31,TRUE,FALSE,229,6600,,,,,,
AFR::NGA,2014-01-01,2014-12-31,TRUE,FALSE,755,35996,,,,,,
AFR::NGA,2015-01-01,2015-12-31,TRUE,FALSE,186,5290,,,,,,
AFR::NGA,2016-01-01,2016-12-31,TRUE,FALSE,32,768,,,,,,
AFR::NGA,2017-01-01,2017-12-31,TRUE,FALSE,288,12174,,,,,,
AFR::NGA,2018-01-01,2018-12-31,TRUE,FALSE,836,45037,,,,,,
AFR::NGA,2019-01-01,2019-12-31,TRUE,FALSE,43,2486,,,,,,
AFR::NGA,2020-01-01,2020-12-31,TRUE,FALSE,47,596,,,,,,
AFR::NGA,2021-01-01,2021-12-31,TRUE,FALSE,3604,111062,,,,,,
AFR::NGA,2022-01-01,2022-12-31,TRUE,FALSE,597,23839,,,,,,
AFR::NGA,2023-01-01,2023-12-31,TRUE,FALSE,128,3683,,,,,,
AFR::NGA,2024-01-01,2024-12-31,TRUE,FALSE,4,318,,,,,,
AFR::ZMB,1978-01-01,1978-12-31,TRUE,FALSE,36,263,,,,,,
AFR::ZMB,1979-01-01,1979-12-31,TRUE,FALSE,11,12,,,,,,
AFR::ZMB,1980-01-01,1980-12-31,TRUE,FALSE,17,57,,,,,,
AFR::ZMB,1981-01-01,1981-12-31,TRUE,FALSE,0,14,,,,,,
AFR::ZMB,1982-01-01,1982-12-31,TRUE,FALSE,131,1403,,,,,,
AFR::ZMB,1983-01-01,1983-12-31,TRUE,FALSE,19,233,,,,,,
AFR::ZMB,1989-01-01,1989-12-31,TRUE,FALSE,44,44,,,,,,
AFR::ZMB,1990-01-01,1990-12-31,TRUE,FALSE,315,3717,,,,,,
AFR::ZMB,1991-01-01,1991-12-31,TRUE,FALSE,1091,13154,,,,,,
AFR::ZMB,1992-01-01,1992-12-31,TRUE,FALSE,913,11659,,,,,,
AFR::ZMB,1993-01-01,1993-12-31,TRUE,FALSE,426,6766,,,,,,
AFR::ZMB,1996-01-01,1996-12-31,TRUE,FALSE,42,2172,,,,,,
AFR::ZMB,1997-01-01,1997-12-31,TRUE,FALSE,0,36,,,,,,
AFR::ZMB,1998-01-01,1998-12-31,TRUE,FALSE,0,171,,,,,,
AFR::ZMB,1999-01-01,1999-12-31,TRUE,FALSE,535,13511,,,,,,
AFR::ZMB,2000-01-01,2000-12-31,TRUE,FALSE,303,4504,,,,,,
AFR::ZMB,2001-01-01,2001-12-31,TRUE,FALSE,165,3109,,,,,,
AFR::ZMB,2002-01-01,2002-12-31,TRUE,FALSE,12,339,,,,,,
AFR::ZMB,2003-01-01,2003-12-31,TRUE,FALSE,29,1049,,,,,,
AFR::ZMB,2004-01-01,2004-12-31,TRUE,FALSE,373,12149,,,,,,
AFR::ZMB,2005-01-01,2005-12-31,TRUE,FALSE,7,1503,,,,,,
AFR::ZMB,2006-01-01,2006-12-31,TRUE,FALSE,183,5360,,,,,,
AFR::ZMB,2007-01-01,2007-12-31,TRUE,FALSE,35,2286,,,,,,
AFR::ZMB,2008-01-01,2008-12-31,TRUE,FALSE,39,2061,,,,,,
AFR::ZMB,2009-01-01,2009-12-31,TRUE,FALSE,80,4712,,,,,,"279 5,072"
AFR::ZMB,2010-01-01,2010-12-31,TRUE,FALSE,62,6794,,,,,,
AFR::ZMB,2011-01-01,2011-12-31,TRUE,FALSE,7,330,,,,,,
AFR::ZMB,2012-01-01,2012-12-31,TRUE,FALSE,2,198,,,,,,
AFR::ZMB,2017-01-01,2017-12-31,TRUE,FALSE,57,1794,,,,,,
AFR::ZMB,2018-01-01,2018-12-31,TRUE,FALSE,74,4082,,,,,,
AFR::ZMB,2019-01-01,2019-12-31,TRUE,FALSE,9,447,,,,,,
AFR::ZMB,2020-01-01,2020-12-31,TRUE,FALSE,0,0,,,,,,
AFR::ZMB,2021-01-01,2021-12-31,TRUE,FALSE,0,0,,,,,,
AFR::ZMB,2022-01-01,2022-12-31,TRUE,FALSE,0,34,,,,,,
AFR::ZMB,2023-01-01,2023-12-31,TRUE,FALSE,117,4095,,,,,,
AFR::ZMB,2024-01-01,2024-12-31,TRUE,FALSE,621,19319,,,,,,
AFR::UGA,1991-01-01,1991-12-31,TRUE,FALSE,,279,,,,,,
AFR::UGA,1992-01-01,1992-12-31,TRUE,FALSE,,5072,,,,,,
AFR::UGA,1994-01-01,1994-12-31,TRUE,FALSE,,704,,,,,,
AFR::UGA,1995-01-01,1995-12-31,TRUE,FALSE,,538,,,,,,
AFR::UGA,1996-01-01,1996-12-31,TRUE,FALSE,,291,,,,,,
AFR::UGA,1997-01-01,1997-12-31,TRUE,FALSE,,2610,,,,,,
AFR::UGA,1998-01-01,1998-12-31,TRUE,FALSE,,49514,,,,,,
AFR::UGA,1999-01-01,1999-12-31,TRUE,FALSE,,5179,,,,,,
AFR::UGA,2000-01-01,2000-12-31,TRUE,FALSE,,2807,,,,,,
AFR::UGA,2001-01-01,2001-12-31,TRUE,FALSE,,247,,,,,,
AFR::UGA,2002-01-01,2002-12-31,TRUE,FALSE,,2274,,,,,,
AFR::UGA,2003-01-01,2003-12-31,TRUE,FALSE,,4377,,,,,,
AFR::UGA,2004-01-01,2004-12-31,TRUE,FALSE,,3380,,,,,,
AFR::UGA,2005-01-01,2005-12-31,TRUE,FALSE,,4924,,,,,,
AFR::UGA,2006-01-01,2006-12-31,TRUE,FALSE,,5194,,,,,,
AFR::UGA,2007-01-01,2007-12-31,TRUE,FALSE,,276,,,,,,
AFR::UGA,2008-01-01,2008-12-31,TRUE,FALSE,,3726,,,,,,
AFR::UGA,2009-01-01,2009-12-31,TRUE,FALSE,,1095,,,,,,
AFR::UGA,2010-01-01,2010-12-31,TRUE,FALSE,,2341,,,,,,
AFR::UGA,2011-01-01,2011-12-31,TRUE,FALSE,,229,,,,,,
AFR::UGA,2012-01-01,2012-12-31,TRUE,FALSE,135,6326,,,,,,
AFR::UGA,2013-01-01,2013-12-31,TRUE,FALSE,27,748,,,,,,
AFR::UGA,2014-01-01,2014-12-31,TRUE,FALSE,9,309,,,,,,
AFR::UGA,2015-01-01,2015-12-31,TRUE,FALSE,33,1461,,,,,,
AFR::UGA,2016-01-01,2016-12-31,TRUE,FALSE,11,2234,,,,,,
AFR::UGA,2017-01-01,2017-12-31,TRUE,FALSE,0,292,,,,,,
AFR::UGA,2018-01-01,2018-12-31,TRUE,FALSE,90,4440,,,,,,
AFR::UGA,2019-01-01,2019-12-31,TRUE,FALSE,5,358,,,,,,
AFR::UGA,2020-01-01,2020-12-31,TRUE,FALSE,,1361,,,,,,
AFR::UGA,2021-01-01,2021-12-31,TRUE,FALSE,0,173,,,,,,
AFR::UGA,2022-01-01,2022-12-31,TRUE,FALSE,0,0,,,,,,
AFR::UGA,2023-01-01,2023-12-31,TRUE,FALSE,10,80,,,,,,
AFR::UGA,2024-01-01,2024-12-31,TRUE,FALSE,5,89,,,,,,
